review_id,product_id,title,author,rating,content,timestamp,is_verified,helpful_count,product_attributes
R20,PID002,Great sound!,User20,5,The sound quality is amazing. Highly recommend!,2024-08-22,True,43,"Color: White, Style: Wired"
R21,PID003,Average,User21,1,"Sound is okay, but there are better options.",2024-12-07,True,37,"Color: Red, Style: Over-Ear"
R22,PID003,Great sound!,User22,4,"Decent for the price, but a bit uncomfortable.",2024-05-13,False,28,"Color: Red, Style: Over-Ear"
R23,PID001,Not satisfied,User23,1,The sound quality is amazing. Highly recommend!,2024-12-23,True,38,"Color: Black, Style: Wireless"
R24,PID003,Great sound!,User24,4,The sound quality is amazing. Highly recommend!,2024-09-26,False,29,"Color: Red, Style: Over-Ear"
R25,PID002,Average,User25,4,Exceeded my expectations. Great bass and clarity.,2024-10-28,False,42,"Color: White, Style: Wired"
R26,PID002,Not satisfied,User26,3,Exceeded my expectations. Great bass and clarity.,2024-04-06,False,43,"Color: White, Style: Wired"
R27,PID004,Good value,User27,3,"Sound is okay, but there are better options.",2024-07-27,False,35,"Color: Blue, Style: Noise Cancelling"
R28,PID001,Amazing!,User28,4,Exceeded my expectations. Great bass and clarity.,2024-02-07,False,48,"Color: Black, Style: Wireless"
R29,PID003,Good value,User29,2,"Decent for the price, but a bit uncomfortable.",2024-04-16,True,44,"Color: Red, Style: Over-Ear"
R30,PID004,Amazing!,User30,5,"Sound is okay, but there are better options.",2024-07-14,False,30,"Color: Blue, Style: Noise Cancelling"
R31,PID005,Great sound!,User31,5,"Battery life is poor, and the fit is uncomfortable.",2024-09-07,False,39,"Color: Gray, Style: Bluetooth"
R32,PID005,Amazing!,User32,3,"Decent for the price, but a bit uncomfortable.",2024-05-11,True,33,"Color: Gray, Style: Bluetooth"
R33,PID001,Good value,User33,5,The sound quality is amazing. Highly recommend!,2024-01-21,True,47,"Color: Black, Style: Wireless"
R34,PID005,Not satisfied,User34,5,Exceeded my expectations. Great bass and clarity.,2024-07-06,True,18,"Color: Gray, Style: Bluetooth"
R35,PID004,Amazing!,User35,2,The sound quality is amazing. Highly recommend!,2024-04-01,True,43,"Color: Blue, Style: Noise Cancelling"
R36,PID005,Average,User36,4,"Decent for the price, but a bit uncomfortable.",2024-09-23,True,29,"Color: Gray, Style: Bluetooth"
R37,PID005,Amazing!,User37,2,"Sound is okay, but there are better options.",2024-12-13,True,23,"Color: Gray, Style: Bluetooth"
R38,PID004,Average,User38,5,"Sound is okay, but there are better options.",2024-03-23,True,28,"Color: Blue, Style: Noise Cancelling"
R39,PID002,Great sound!,User39,3,"Battery life is poor, and the fit is uncomfortable.",2024-12-12,True,19,"Color: White, Style: Wired"
R40,PID004,Great sound!,User40,3,Exceeded my expectations. Great bass and clarity.,2024-09-24,False,8,"Color: Blue, Style: Noise Cancelling"
R41,PID005,Amazing!,User41,2,The sound quality is amazing. Highly recommend!,2024-01-28,True,48,"Color: Gray, Style: Bluetooth"
R42,PID001,Great sound!,User42,2,"Decent for the price, but a bit uncomfortable.",2024-08-02,False,28,"Color: Black, Style: Wireless"
R43,PID002,Great sound!,User43,5,"Battery life is poor, and the fit is uncomfortable.",2024-10-26,False,47,"Color: White, Style: Wired"
R44,PID001,Great sound!,User44,1,"Decent for the price, but a bit uncomfortable.",2024-12-28,False,2,"Color: Black, Style: Wireless"
R45,PID004,Not satisfied,User45,4,"Sound is okay, but there are better options.",2024-12-17,False,24,"Color: Blue, Style: Noise Cancelling"
R46,PID001,Great sound!,User46,1,"Battery life is poor, and the fit is uncomfortable.",2024-05-23,False,41,"Color: Black, Style: Wireless"
R47,PID005,Average,User47,3,"Battery life is poor, and the fit is uncomfortable.",2024-07-02,True,42,"Color: Gray, Style: Bluetooth"
R48,PID002,Amazing!,User48,4,Exceeded my expectations. Great bass and clarity.,2024-02-01,False,25,"Color: White, Style: Wired"
R49,PID003,Not satisfied,User49,2,"Battery life is poor, and the fit is uncomfortable.",2024-06-18,True,33,"Color: Red, Style: Over-Ear"
R50,PID005,Average,User50,2,The sound quality is amazing. Highly recommend!,2024-10-24,False,28,"Color: Gray, Style: Bluetooth"
R51,PID002,Good value,User51,1,Exceeded my expectations. Great bass and clarity.,2024-06-21,False,34,"Color: White, Style: Wired"
R52,PID003,Average,User52,4,Exceeded my expectations. Great bass and clarity.,2024-10-06,True,30,"Color: Red, Style: Over-Ear"
R53,PID002,Great sound!,User53,3,Exceeded my expectations. Great bass and clarity.,2024-03-03,True,13,"Color: White, Style: Wired"
R54,PID002,Average,User54,3,The sound quality is amazing. Highly recommend!,2024-11-17,True,40,"Color: White, Style: Wired"
R55,PID005,Amazing!,User55,1,"Decent for the price, but a bit uncomfortable.",2024-01-08,False,6,"Color: Gray, Style: Bluetooth"
R56,PID002,Not satisfied,User56,1,"Battery life is poor, and the fit is uncomfortable.",2024-12-10,True,24,"Color: White, Style: Wired"
R57,PID004,Not satisfied,User57,5,"Decent for the price, but a bit uncomfortable.",2024-03-02,True,6,"Color: Blue, Style: Noise Cancelling"
R58,PID003,Not satisfied,User58,4,The sound quality is amazing. Highly recommend!,2024-03-27,False,32,"Color: Red, Style: Over-Ear"
R59,PID005,Amazing!,User59,3,Exceeded my expectations. Great bass and clarity.,2024-07-19,True,35,"Color: Gray, Style: Bluetooth"
R60,PID004,Average,User60,1,The sound quality is amazing. Highly recommend!,2024-02-07,True,46,"Color: Blue, Style: Noise Cancelling"
R61,PID001,Average,User61,4,The sound quality is amazing. Highly recommend!,2024-07-01,False,36,"Color: Black, Style: Wireless"
R62,PID004,Great sound!,User62,4,"Battery life is poor, and the fit is uncomfortable.",2024-12-09,False,45,"Color: Blue, Style: Noise Cancelling"
R63,PID004,Average,User63,5,"Sound is okay, but there are better options.",2024-12-01,True,1,"Color: Blue, Style: Noise Cancelling"
R64,PID002,Average,User64,4,"Sound is okay, but there are better options.",2024-12-16,True,2,"Color: White, Style: Wired"
R65,PID005,Not satisfied,User65,5,Exceeded my expectations. Great bass and clarity.,2024-07-18,False,26,"Color: Gray, Style: Bluetooth"
R66,PID004,Average,User66,1,The sound quality is amazing. Highly recommend!,2024-06-10,True,13,"Color: Blue, Style: Noise Cancelling"
R67,PID003,Amazing!,User67,5,"Battery life is poor, and the fit is uncomfortable.",2024-01-15,False,28,"Color: Red, Style: Over-Ear"
R68,PID002,Average,User68,4,Exceeded my expectations. Great bass and clarity.,2024-02-11,True,4,"Color: White, Style: Wired"
R69,PID003,Average,User69,1,The sound quality is amazing. Highly recommend!,2024-12-07,False,44,"Color: Red, Style: Over-Ear"
R70,PID002,Amazing!,User70,4,Exceeded my expectations. Great bass and clarity.,2024-09-28,True,33,"Color: White, Style: Wired"
R71,PID001,Average,User71,3,The sound quality is amazing. Highly recommend!,2024-03-24,True,39,"Color: Black, Style: Wireless"
R72,PID003,Average,User72,4,"Battery life is poor, and the fit is uncomfortable.",2024-06-11,False,39,"Color: Red, Style: Over-Ear"
R73,PID004,Amazing!,User73,3,Exceeded my expectations. Great bass and clarity.,2024-08-06,False,6,"Color: Blue, Style: Noise Cancelling"
R74,PID005,Average,User74,4,Exceeded my expectations. Great bass and clarity.,2024-04-08,False,2,"Color: Gray, Style: Bluetooth"
R75,PID005,Average,User75,2,Exceeded my expectations. Great bass and clarity.,2024-11-05,True,14,"Color: Gray, Style: Bluetooth"
R76,PID004,Not satisfied,User76,5,"Sound is okay, but there are better options.",2024-11-22,True,25,"Color: Blue, Style: Noise Cancelling"
R77,PID004,Good value,User77,5,"Sound is okay, but there are better options.",2024-02-10,True,47,"Color: Blue, Style: Noise Cancelling"
R78,PID004,Good value,User78,2,"Battery life is poor, and the fit is uncomfortable.",2024-09-02,False,46,"Color: Blue, Style: Noise Cancelling"
R79,PID002,Average,User79,3,The sound quality is amazing. Highly recommend!,2024-04-28,True,1,"Color: White, Style: Wired"
R80,PID004,Not satisfied,User80,5,"Decent for the price, but a bit uncomfortable.",2024-04-24,True,14,"Color: Blue, Style: Noise Cancelling"
R81,PID003,Not satisfied,User81,3,"Battery life is poor, and the fit is uncomfortable.",2024-06-08,True,22,"Color: Red, Style: Over-Ear"
R82,PID002,Good value,User82,2,The sound quality is amazing. Highly recommend!,2024-04-02,False,14,"Color: White, Style: Wired"
R83,PID002,Amazing!,User83,1,Exceeded my expectations. Great bass and clarity.,2024-11-25,True,29,"Color: White, Style: Wired"
R84,PID005,Amazing!,User84,2,"Sound is okay, but there are better options.",2024-06-17,True,0,"Color: Gray, Style: Bluetooth"
R85,PID003,Not satisfied,User85,3,"Battery life is poor, and the fit is uncomfortable.",2024-01-13,False,43,"Color: Red, Style: Over-Ear"
R86,PID002,Great sound!,User86,3,"Decent for the price, but a bit uncomfortable.",2024-02-21,False,1,"Color: White, Style: Wired"
R87,PID004,Average,User87,3,"Decent for the price, but a bit uncomfortable.",2024-09-27,False,42,"Color: Blue, Style: Noise Cancelling"
R88,PID002,Great sound!,User88,4,"Battery life is poor, and the fit is uncomfortable.",2024-05-06,True,23,"Color: White, Style: Wired"
R89,PID004,Not satisfied,User89,2,The sound quality is amazing. Highly recommend!,2024-03-04,False,23,"Color: Blue, Style: Noise Cancelling"
R90,PID002,Amazing!,User90,3,"Battery life is poor, and the fit is uncomfortable.",2024-06-07,False,15,"Color: White, Style: Wired"
R91,PID005,Great sound!,User91,5,"Battery life is poor, and the fit is uncomfortable.",2024-02-21,False,47,"Color: Gray, Style: Bluetooth"
R92,PID004,Average,User92,4,"Battery life is poor, and the fit is uncomfortable.",2024-06-27,True,4,"Color: Blue, Style: Noise Cancelling"
R93,PID004,Not satisfied,User93,3,"Battery life is poor, and the fit is uncomfortable.",2024-10-17,False,32,"Color: Blue, Style: Noise Cancelling"
R94,PID001,Not satisfied,User94,5,"Decent for the price, but a bit uncomfortable.",2024-02-24,True,27,"Color: Black, Style: Wireless"
R95,PID002,Not satisfied,User95,5,"Sound is okay, but there are better options.",2024-06-09,True,4,"Color: White, Style: Wired"
R96,PID005,Amazing!,User96,5,Exceeded my expectations. Great bass and clarity.,2024-03-20,True,43,"Color: Gray, Style: Bluetooth"
R97,PID005,Average,User97,4,"Battery life is poor, and the fit is uncomfortable.",2024-03-24,False,22,"Color: Gray, Style: Bluetooth"
R98,PID002,Good value,User98,2,The sound quality is amazing. Highly recommend!,2024-07-19,True,43,"Color: White, Style: Wired"
R99,PID002,Great sound!,User99,2,"Decent for the price, but a bit uncomfortable.",2024-08-13,True,44,"Color: White, Style: Wired"
R100,PID001,Not satisfied,User100,1,Exceeded my expectations. Great bass and clarity.,2024-11-02,False,37,"Color: Black, Style: Wireless"
